City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
248,Georgetown,MY,5.4112,100.3354,81.23,93,20,1.14,few clouds
249,Qaqortoq,GL,60.7167,-46.0333,19.63,66,15,9.22,few clouds
250,Aasiaat,GL,68.7098,-52.8699,-1.44,98,95,7.87,overcast clouds
251,Leningradskiy,RU,69.3833,178.4167,17.29,88,100,25.61,light snow
252,Anisoc,GQ,1.8658,10.7689,71.55,96,100,2.57,light rain
253,Sur,OM,22.5667,59.5289,82.47,58,68,8.52,broken clouds
254,Teknaf,BD,20.8624,92.3058,71.76,87,13,6.62,few clouds
255,Manakara,MG,-22.1333,48.0167,72.88,84,39,9.71,scattered clouds
256,Saint-Leu,RE,-21.15,55.2833,72.46,76,75,0.54,broken clouds
257,Todos Santos,MX,23.45,-110.2167,82.04,62,14,7.74,few clouds
258,Halifax,CA,44.6453,-63.5724,45.45,48,75,32.21,broken clouds
259,Sisimiut,GL,66.9395,-53.6735,9.14,85,10,12.26,clear sky
260,Oksfjord,NO,70.2396,22.3479,35.78,95,74,8.81,broken clouds
261,Mizdah,LY,31.4451,12.9801,60.8,37,0,6.06,clear sky
262,Jieshi,CN,22.8134,115.8257,71.08,81,61,10.38,broken clouds
263,Camacha,PT,33.0833,-16.3333,67.42,83,40,5.75,scattered clouds
264,Vardo,NO,70.3705,31.1107,39.18,75,75,13.8,broken clouds
265,Quthing,LS,-30.4,27.7003,57.18,87,7,1.57,clear sky
266,Guerrero Negro,MX,27.9769,-114.0611,71.33,59,71,12.06,broken clouds
267,Lucapa,AO,-8.4192,20.7447,64.72,94,86,2.98,overcast clouds
268,Half Moon Bay,US,37.4636,-122.4286,52.61,92,75,11.5,mist
269,Khasan,RU,42.4308,130.6434,43.02,66,87,3.87,overcast clouds
270,Oistins,BB,13.0667,-59.5333,87.89,70,40,20.71,scattered clouds
271,Mehamn,NO,71.0357,27.8492,33.71,100,75,2.3,broken clouds
272,Dekernes,EG,31.0876,31.595,64.94,68,0,5.84,clear sky
273,Vikhorevka,RU,56.1201,101.1636,18.99,99,88,1.77,overcast clouds
274,Kaputa,ZM,-8.4689,29.6619,70.75,87,98,7.54,light rain
275,Muli,MV,2.9167,73.5667,80.44,78,35,12.8,scattered clouds
276,Bam,IR,29.106,58.357,61.72,29,69,2.46,broken clouds
277,Neiafu,TO,-18.65,-173.9833,75.88,88,40,8.05,scattered clouds
278,Gat,IL,31.61,34.7642,66.4,100,22,2.26,few clouds
279,Hualmay,PE,-11.0964,-77.6139,68.94,71,10,9.93,clear sky
280,Fort Nelson,CA,58.8053,-122.7002,-0.06,100,20,3.0,few clouds
281,Malanje,AO,-9.5402,16.341,67.86,80,100,4.54,overcast clouds
282,Haysville,US,37.5645,-97.3523,66.15,89,100,12.66,overcast clouds
283,Guarapari,BR,-20.6667,-40.4975,76.89,71,100,8.7,overcast clouds
284,Chivacoa,VE,10.1603,-68.895,87.69,55,99,5.14,overcast clouds
285,Ubajara,BR,-3.8544,-40.9211,83.61,34,100,6.33,overcast clouds
286,Ostrovnoy,RU,68.0531,39.5131,36.63,83,81,6.04,broken clouds
287,Aykhal,RU,66.0,111.5,9.18,95,100,9.86,light snow
288,Mecca,SA,21.4267,39.8261,78.15,63,2,5.08,clear sky
289,Novopavlovka,RU,51.2172,109.2091,19.04,96,100,0.94,light snow
290,East London,ZA,-33.0153,27.9116,65.34,100,40,2.3,scattered clouds
291,Eresos,GR,39.1667,25.9333,57.88,61,9,12.75,clear sky
292,Smithers,CA,54.7804,-127.1743,3.52,66,20,6.91,few clouds
293,Whitehorse,CA,60.7161,-135.0538,11.01,65,100,15.01,light snow
294,Pangnirtung,CA,66.1451,-65.7125,14.0,67,75,2.3,broken clouds
295,Sidi Ali,DZ,36.0998,0.4206,66.92,63,100,2.77,overcast clouds
296,Araouane,ML,18.9048,-3.5265,78.31,10,2,3.65,clear sky
297,Sosua,DO,19.7667,-70.5167,89.58,74,20,11.5,few clouds
298,Fukue,JP,32.6881,128.8419,64.13,48,0,6.13,clear sky
299,Boyolangu,ID,-8.1181,111.8935,75.07,92,99,2.55,moderate rain
300,Rincon,US,32.296,-81.2354,76.91,27,0,14.52,clear sky
301,Farafenni,GM,13.5667,-15.6,85.26,25,100,5.99,overcast clouds
302,Buckeye,US,33.3703,-112.5838,77.11,38,0,11.5,clear sky
303,Bengkulu,ID,-3.8004,102.2655,75.9,91,100,4.38,overcast clouds
304,Inuvik,CA,68.3499,-133.7218,18.36,65,100,5.75,overcast clouds
305,Upata,VE,8.0086,-62.3989,83.19,78,100,3.31,overcast clouds
306,Hovd,MN,48.0056,91.6419,35.55,60,100,5.06,overcast clouds
307,Souillac,MU,-20.5167,57.5167,73.78,78,40,6.91,scattered clouds
308,Lake Havasu City,US,34.4839,-114.3224,76.23,43,0,14.97,clear sky
309,Chateaubelair,VC,13.2833,-61.25,82.92,84,40,8.05,light rain
310,Cururupu,BR,-1.8283,-44.8683,81.82,71,90,6.89,overcast clouds
311,Tilichiki,RU,60.4667,166.1,12.83,93,100,2.91,overcast clouds
312,Shebunino,RU,46.4339,141.8603,40.05,59,14,9.1,few clouds
313,Raudeberg,NO,61.9875,5.1352,50.95,45,91,13.91,overcast clouds
314,Alepe,CI,5.5004,-3.6631,82.27,92,58,4.79,light rain
315,Nouadhibou,MR,20.931,-17.0347,73.38,64,21,14.97,few clouds
